file	latest_case	rows	hospital_yes	icu_yes	outcome_admit	outcome_icu	outcome_death
MN.csv	2020-03-10	2	0	0	0	0	0
MY.csv	2020-02-15	30	0	0	0	0	0
AM.csv	2020-03-01	2	0	0	0	0	0
AZ.csv	2020-03-05	6	0	0	0	0	0
BA.csv	2020-05-27	2434	0	0	0	0	0
TZ.csv	2020-03-26	10	0	0	0	0	0
CD.csv	2020-03-27	60	0	0	0	0	0
AL.csv	2020-05-27	1054	0	0	0	0	0
MX.csv	2022-03-31	5278617	658159	50466	0	0	312717
LK.csv	2020-01-27	2	0	0	0	0	0
LI.csv	2020-03-02	1	0	0	0	0	0
NA.csv	2020-03-27	9	0	0	0	0	0
MZ.csv	2020-03-26	7	0	0	0	0	0
CF.csv	2020-03-27	6	0	0	0	0	0
TN.csv	2020-02-02	2	0	0	0	0	0
CG.csv	2020-03-27	63	0	0	0	0	0
AO.csv	2020-03-27	4	0	0	0	0	0
BT.csv	2020-02-05	2	0	0	0	0	0
ML.csv	2020-03-27	9	0	0	0	0	0
BG.csv	2020-03-08	4	0	0	0	0	0
UY.csv	2020-04-06	415	0	0	0	0	0
ZA.csv	2020-05-10	10014	0	0	0	0	0
VC.csv	2020-03-11	1	0	0	0	0	0
CU.csv	2021-07-04	207318	0	0	0	0	0
BF.csv	2020-03-27	211	0	0	0	0	0
NG.csv	2020-05-19	6403	0	0	0	0	0
MK.csv	2020-05-27	2039	0	0	0	0	0
NP.csv	2020-01-24	1	0	0	0	0	0
BS.csv	2020-05-11	90	0	0	0	0	0
XK.csv	2020-03-14	5	0	0	0	0	0
TH.csv	2021-01-14	11449	0	0	0	0	0
BR.csv	2022-03-19	3853973	1818937	615919	0	0	611212
CV.csv	2020-03-25	4	0	0	0	0	0
BE.csv	2020-05-27	59259	0	0	0	0	0
CA.csv	2021-03-23	61983	0	0	0	0	2
IR.csv	2020-03-05	7026	0	0	0	0	4
IE.csv	2020-06-16	22181	0	0	0	0	0
KZ.csv	2020-03-30	49	0	0	0	0	0
GN.csv	2020-03-27	8	0	0	0	0	0
RO.csv	2020-03-09	25	0	0	0	0	0
SK.csv	2020-05-27	1515	0	0	0	0	0
EG.csv	2020-06-07	33931	0	0	0	0	0
IS.csv	2020-03-07	34	0	0	0	0	0
HU.csv	2020-05-27	3791	0	0	0	0	0
IQ.csv	2020-03-03	36	0	0	0	0	0
GM.csv	2020-03-18	1	0	0	0	0	0
ER.csv	2020-03-26	6	0	0	0	0	0
FI.csv	2020-06-04	6886	0	0	0	0	0
EE.csv	2023-03-14	652972	0	0	0	0	0
QA.csv	2020-03-07	18	0	0	0	0	0
PE.csv	2021-07-03	2052334	0	0	0	0	0
SI.csv	2020-06-15	1496	0	0	0	0	0
JO.csv	2020-03-02	2	0	0	0	0	0
GH.csv	2020-04-09	363	0	0	0	0	0
PA.csv	2020-03-09	2	0	0	0	0	0
SZ.csv	2020-03-26	9	0	0	0	0	0
SM.csv	2020-02-28	2	0	0	0	0	1
GI.csv	2020-03-03	1	0	0	0	0	0
DE.csv	2022-03-28	20561131	0	0	0	0	128764
KH.csv	2020-01-27	2	0	0	0	0	0
EC.csv	2020-03-08	8	0	0	0	0	0
ET.csv	2020-05-06	132	0	0	0	0	0
SN.csv	2020-03-27	111	0	0	0	0	0
PT.csv	2020-03-23	1565	0	0	0	0	0
SO.csv	2020-03-27	3	0	0	0	0	0
HR.csv	2020-05-24	2249	0	0	0	0	0
IL.csv	2020-03-02	22	0	0	0	0	0
DK.csv	2020-03-24	250	0	0	0	0	0
PY.csv	2020-04-05	114	0	0	0	0	0
SC.csv	2020-03-20	7	0	0	0	0	0
DJ.csv	2020-03-27	14	0	0	0	0	0
GQ.csv	2020-03-27	13	0	0	0	0	0
KE.csv	2020-05-05	512	0	0	0	0	0
KR.csv	2020-03-12	14544	0	0	0	0	36
HK.csv	2022-02-06	14871	0	0	0	0	215
RE.csv	2020-03-15	18	0	0	0	0	0
SA.csv	2020-03-05	8	0	0	0	0	0
PL.csv	2020-03-23	214	0	0	0	0	0
RS.csv	2020-05-27	11272	0	0	0	0	0
GE.csv	2020-03-17	66	0	0	0	0	0
GR.csv	2020-03-07	29	0	0	0	0	0
IN.csv	2020-04-19	20302	2919	0	0	0	33
DZ.csv	2020-04-04	310	0	0	0	0	0
GA.csv	2020-03-22	6	0	0	0	0	0
SD.csv	2020-03-27	5	0	0	0	0	0
RW.csv	2020-03-27	54	0	0	0	0	0
SE.csv	2020-06-04	40444	0	0	0	0	0
GW.csv	2020-03-26	2	0	0	0	0	0
JP.csv	2021-03-29	346345	0	0	0	0	377
GB.csv	2022-03-29	3453247	0	0	0	0	3996
SG.csv	2020-03-10	328	0	0	0	0	0
PK.csv	2020-03-05	12	0	0	0	0	0
RU.csv	2020-05-09	198301	0	0	0	0	0
GT.csv	2020-04-06	34	0	0	0	0	0
KW.csv	2020-03-07	84	0	0	0	0	0
LT.csv	2020-02-28	1	0	0	0	0	0
MG.csv	2020-03-27	17	0	0	0	0	0
BH.csv	2020-03-07	68	0	0	0	0	0
CL.csv	2020-03-31	1503	0	0	0	0	0
AD.csv	2020-03-02	1	0	0	0	0	0
TR.csv	2020-05-27	159779	0	0	0	0	0
UA.csv	2020-06-14	31135	0	0	0	0	0
TD.csv	2020-03-26	5	0	0	0	0	0
CZ.csv	2022-03-28	3799151	0	0	0	0	0
AE.csv	2020-02-27	40	0	0	0	0	0
CM.csv	2020-03-27	84	0	0	0	0	0
AR.csv	2022-02-13	8726835	228792	48062	24	0	124088
LB.csv	2020-03-02	12	0	0	0	0	0
LU.csv	2020-03-06	3	0	0	0	0	0
MD.csv	2020-06-15	11067	0	0	0	0	0
CO.csv	2023-03-13	6089762	43891	9455	0	0	146142
VN.csv	2020-03-07	32	0	0	0	0	0
ZM.csv	2020-03-27	22	0	0	0	0	0
TG.csv	2020-03-27	14	0	0	0	0	0
AF.csv	2020-03-07	8	0	0	0	0	0
BJ.csv	2020-03-22	5	0	0	0	0	0
CN.csv	2022-02-04	6	0	0	0	0	0
ME.csv	2020-05-05	322	0	0	0	0	0
MR.csv	2020-03-26	3	0	0	0	0	0
OM.csv	2020-03-04	30	0	0	0	0	0
MA.csv	2020-03-04	4	0	0	0	0	0
NZ.csv	2022-10-23	1811562	0	0	0	0	0
LR.csv	2020-03-20	3	0	0	0	0	0
MV.csv	2020-03-07	4	0	0	0	0	0
BY.csv	2020-05-27	38884	0	0	0	0	0
AU.csv	2020-03-15	542	0	0	0	0	2
UG.csv	2020-03-27	18	0	0	0	0	0
AT.csv	2020-05-25	23983	0	0	0	0	0
NL.csv	2020-03-24	4150	0	0	0	0	0
MU.csv	2020-03-27	89	0	0	0	0	0
CI.csv	2020-03-27	101	0	0	0	0	0
US.csv	2022-01-09	44402270	1411386	83193	0	0	668644
TW.csv	2022-02-10	19426	0	0	0	0	0
VI.csv	2020-03-14	2	0	0	0	0	0
CH.csv	2022-03-14	555349	0	0	0	0	0
MT.csv	2020-03-07	1	0	0	0	0	0
NO.csv	2020-03-24	658	0	0	0	0	0
